Symptom1,Symptom2,Symptom3,Symptom4,Symptom5,Disease
Body Pain,Headache,Sweating,Vomiting,Chest Pain,Allergy
Headache,Shortness of Breath,Nausea,Loss of Appetite,High Fever,Asthma
Vomiting,Runny Nose,Chills,Fever,Sore Throat,Cold
Sore Throat,Fatigue,Muscle Weakness,Skin Rash,Chest Pain,Malaria
Body Pain,Headache,Diarrhea,Fever,Muscle Weakness,Food Poisoning
Abdominal Pain,Vomiting,Swelling,High Fever,Runny Nose,Tuberculosis
Cough,Nausea,Joint Pain,Abdominal Pain,Shortness of Breath,Chikungunya
Chills,Diarrhea,Headache,Skin Rash,Sneezing,Tuberculosis
Dizziness,Muscle Weakness,Shortness of Breath,Sore Throat,Runny Nose,Bronchitis
Muscle Weakness,Sore Throat,Abdominal Pain,Sneezing,Swelling,COVID-19
Fever,Loss of Appetite,Cough,Runny Nose,Chest Pain,Bronchitis
Dizziness,Shortness of Breath,Chills,Sneezing,Loss of Appetite,COVID-19
Headache,Muscle Weakness,Skin Rash,Fatigue,Sweating,Food Poisoning
Loss of Appetite,Dizziness,Shortness of Breath,Chills,Sweating,Pneumonia
High Fever,Loss of Appetite,Abdominal Pain,Joint Pain,Body Pain,Allergy
Sneezing,Nausea,Abdominal Pain,Shortness of Breath,Cough,COVID-19
Skin Rash,Nausea,Swelling,Body Pain,Shortness of Breath,Malaria
Joint Pain,Nausea,Sweating,Vomiting,Dizziness,Allergy
Shortness of Breath,Chills,Fatigue,Sneezing,Sore Throat,Flu
Sneezing,Nausea,Chest Pain,Headache,Diarrhea,Bronchitis
Dizziness,Body Pain,Cough,Chills,Fever,COVID-19
Muscle Weakness,Chest Pain,Headache,Abdominal Pain,Swelling,Tuberculosis
Skin Rash,Swelling,Shortness of Breath,Vomiting,Chest Pain,Dengue
Fatigue,Abdominal Pain,Vomiting,Chest Pain,Fever,Allergy
Nausea,Fatigue,Skin Rash,Abdominal Pain,Loss of Appetite,Typhoid
Sneezing,Muscle Weakness,Joint Pain,Sore Throat,Runny Nose,Typhoid
Skin Rash,Sneezing,Vomiting,Muscle Weakness,High Fever,Pneumonia
Dizziness,Fever,Chills,Body Pain,Nausea,Bronchitis
Loss of Appetite,Nausea,Shortness of Breath,Swelling,Headache,Tuberculosis
Dizziness,Loss of Appetite,Vomiting,Joint Pain,Shortness of Breath,Food Poisoning
Runny Nose,Shortness of Breath,Headache,Muscle Weakness,Fever,Dengue
Abdominal Pain,Sneezing,Runny Nose,Chills,Chest Pain,Bronchitis
Skin Rash,Body Pain,Headache,Shortness of Breath,Abdominal Pain,Allergy
Sore Throat,Fatigue,Muscle Weakness,Body Pain,Cough,Asthma
Shortness of Breath,Fatigue,Joint Pain,High Fever,Body Pain,Malaria
Body Pain,Fever,Sore Throat,Chest Pain,Sneezing,Asthma
Loss of Appetite,Fever,Abdominal Pain,Cough,Nausea,Dengue
Fatigue,Sneezing,Runny Nose,Abdominal Pain,Diarrhea,Asthma
Swelling,Joint Pain,Fever,Vomiting,Runny Nose,Dengue
Sore Throat,Swelling,Chest Pain,Headache,Skin Rash,Malaria
Sweating,Diarrhea,Dizziness,Nausea,Joint Pain,COVID-19
High Fever,Diarrhea,Sweating,Skin Rash,Chest Pain,Cold
Skin Rash,Headache,Muscle Weakness,Swelling,Nausea,Cold
Shortness of Breath,Joint Pain,Abdominal Pain,High Fever,Sneezing,Dengue
Sore Throat,Loss of Appetite,Body Pain,Chest Pain,Nausea,Malaria
Sweating,Skin Rash,Dizziness,Sneezing,Fatigue,Asthma
High Fever,Abdominal Pain,Vomiting,Fever,Dizziness,Cold
Cough,Sore Throat,High Fever,Skin Rash,Sweating,Chikungunya
Sweating,Fatigue,Dizziness,Chest Pain,Body Pain,Pneumonia
Muscle Weakness,Skin Rash,Shortness of Breath,Chills,Vomiting,Asthma
Nausea,Loss of Appetite,Runny Nose,Joint Pain,Diarrhea,Typhoid
Cough,Nausea,Runny Nose,Sneezing,Body Pain,Pneumonia
Runny Nose,Joint Pain,Swelling,Fatigue,Body Pain,Cold
Fatigue,Muscle Weakness,Joint Pain,Sneezing,Diarrhea,Food Poisoning
Fever,Sneezing,Abdominal Pain,Chills,Sweating,Bronchitis
Muscle Weakness,Runny Nose,Nausea,Fatigue,Vomiting,Bronchitis
Shortness of Breath,Body Pain,Runny Nose,Swelling,Headache,Flu
Chest Pain,Dizziness,Fatigue,Muscle Weakness,Cough,Chikungunya
Abdominal Pain,Loss of Appetite,Diarrhea,Shortness of Breath,Dizziness,Cold
Chills,Fatigue,Nausea,Abdominal Pain,Cough,Dengue
Chills,Headache,Swelling,Fever,Sneezing,COVID-19
Nausea,Shortness of Breath,Swelling,Headache,Fatigue,Cold
Runny Nose,High Fever,Chest Pain,Cough,Headache,Tuberculosis
Diarrhea,Loss of Appetite,Shortness of Breath,Body Pain,Joint Pain,Typhoid
Chest Pain,Shortness of Breath,Abdominal Pain,Cough,Swelling,Tuberculosis
Headache,Vomiting,Sneezing,Dizziness,Sore Throat,Allergy
Headache,Loss of Appetite,Dizziness,Chest Pain,Body Pain,Tuberculosis
Nausea,Sweating,Runny Nose,Chest Pain,Cough,Typhoid
High Fever,Sore Throat,Joint Pain,Muscle Weakness,Shortness of Breath,Cold
Dizziness,Loss of Appetite,Fever,Shortness of Breath,Swelling,Bronchitis
Chest Pain,Diarrhea,Loss of Appetite,Sweating,Shortness of Breath,Pneumonia
Skin Rash,Muscle Weakness,Fever,Body Pain,Diarrhea,Flu
Sweating,Sneezing,Joint Pain,Swelling,Fever,Asthma
Sweating,Sore Throat,Skin Rash,Chest Pain,High Fever,Asthma
Shortness of Breath,Abdominal Pain,Skin Rash,Headache,Muscle Weakness,Dengue
Dizziness,Fever,Sore Throat,High Fever,Shortness of Breath,Asthma
Dizziness,Swelling,Fever,Chest Pain,Shortness of Breath,Typhoid
Sneezing,Nausea,Vomiting,Fatigue,Chills,Dengue
Skin Rash,Nausea,Sneezing,Fever,Loss of Appetite,Allergy
Fever,Sneezing,Cough,Runny Nose,High Fever,Allergy
Swelling,Shortness of Breath,Joint Pain,Abdominal Pain,Muscle Weakness,Asthma
Skin Rash,Fever,Body Pain,Runny Nose,Shortness of Breath,Chikungunya
High Fever,Sneezing,Chills,Diarrhea,Dizziness,Flu
High Fever,Joint Pain,Abdominal Pain,Diarrhea,Cough,Dengue
Runny Nose,Body Pain,Dizziness,Abdominal Pain,Nausea,Allergy
Dizziness,Chills,Headache,Chest Pain,Cough,Malaria
Joint Pain,Swelling,Body Pain,Skin Rash,Shortness of Breath,Allergy
High Fever,Runny Nose,Fever,Shortness of Breath,Cough,Tuberculosis
Body Pain,Swelling,Nausea,Fever,Chills,Bronchitis
Runny Nose,Fatigue,Shortness of Breath,Dizziness,Headache,Asthma
Dizziness,Sore Throat,Skin Rash,Chills,Vomiting,Typhoid
Vomiting,Runny Nose,Chest Pain,Sweating,Muscle Weakness,Dengue
Body Pain,Joint Pain,Swelling,Muscle Weakness,Loss of Appetite,Flu
Swelling,Muscle Weakness,Shortness of Breath,Skin Rash,Sore Throat,COVID-19
Loss of Appetite,Cough,Body Pain,Chest Pain,Sweating,Flu
Joint Pain,Runny Nose,Muscle Weakness,High Fever,Swelling,Tuberculosis
Sore Throat,Swelling,Cough,Joint Pain,High Fever,Dengue
Sweating,Runny Nose,Dizziness,Abdominal Pain,High Fever,Chikungunya
Headache,Loss of Appetite,Dizziness,Sweating,Chest Pain,Dengue
Joint Pain,Runny Nose,Sore Throat,Abdominal Pain,Fatigue,Flu
Shortness of Breath,High Fever,Cough,Muscle Weakness,Loss of Appetite,Asthma
Abdominal Pain,Headache,Vomiting,Runny Nose,Sneezing,Dengue
Fever,Vomiting,Chills,Dizziness,Skin Rash,Pneumonia
Loss of Appetite,Swelling,Fatigue,Abdominal Pain,Cough,Chikungunya
Joint Pain,Loss of Appetite,Muscle Weakness,Abdominal Pain,Swelling,Flu
Muscle Weakness,High Fever,Diarrhea,Shortness of Breath,Nausea,Cold
Nausea,Fever,Body Pain,Sneezing,Abdominal Pain,Tuberculosis
High Fever,Sneezing,Headache,Swelling,Chills,Malaria
Sneezing,Shortness of Breath,Loss of Appetite,Abdominal Pain,Muscle Weakness,Allergy
Sore Throat,Sweating,Diarrhea,Headache,Swelling,Cold
Swelling,Skin Rash,Cough,Sneezing,Fatigue,Cold
Muscle Weakness,Sweating,Fever,Joint Pain,Sneezing,Tuberculosis
Vomiting,High Fever,Dizziness,Fatigue,Body Pain,Asthma
Fatigue,Headache,Swelling,Shortness of Breath,Muscle Weakness,Cold
Sneezing,Skin Rash,Fatigue,Nausea,Body Pain,Asthma
Loss of Appetite,Sore Throat,Nausea,Chest Pain,Abdominal Pain,Tuberculosis
Dizziness,Sneezing,Body Pain,Chills,High Fever,Malaria
Headache,Swelling,High Fever,Chills,Sweating,Malaria
Swelling,Nausea,Sore Throat,Sneezing,Sweating,Malaria
Swelling,Nausea,Runny Nose,Joint Pain,Diarrhea,Chikungunya
Shortness of Breath,Skin Rash,Headache,Chest Pain,Nausea,Bronchitis
Sneezing,Diarrhea,Fever,Sore Throat,Runny Nose,Food Poisoning
Sneezing,Chills,Muscle Weakness,Headache,Skin Rash,Allergy
Nausea,High Fever,Shortness of Breath,Runny Nose,Sore Throat,Dengue
High Fever,Sweating,Shortness of Breath,Sore Throat,Fatigue,Flu
Loss of Appetite,Fever,Muscle Weakness,Runny Nose,Joint Pain,Asthma
Chest Pain,Fever,Sore Throat,Chills,Sneezing,Malaria
Cough,Sneezing,Chest Pain,Vomiting,Nausea,Flu
Body Pain,Nausea,Chest Pain,Sneezing,Runny Nose,Chikungunya
Fatigue,Vomiting,Chest Pain,Shortness of Breath,Loss of Appetite,Malaria
Headache,Diarrhea,Nausea,Chest Pain,Vomiting,Pneumonia
Sweating,Swelling,Sore Throat,Muscle Weakness,Cough,COVID-19
High Fever,Dizziness,Cough,Headache,Fever,Typhoid
Swelling,Fever,Sore Throat,Joint Pain,Shortness of Breath,Chikungunya
Runny Nose,Chest Pain,Sweating,Fatigue,Body Pain,Flu
Cough,Dizziness,Sweating,Fever,Fatigue,Dengue
Diarrhea,Nausea,Cough,Loss of Appetite,Abdominal Pain,Malaria
Nausea,Chest Pain,Fatigue,Fever,Headache,Dengue
Chest Pain,Skin Rash,Fever,Vomiting,Muscle Weakness,Cold
Dizziness,Vomiting,Loss of Appetite,Abdominal Pain,Skin Rash,Flu
Chills,Cough,Nausea,Runny Nose,Sneezing,Flu
Cough,Diarrhea,Sneezing,Sweating,Dizziness,Typhoid
Diarrhea,High Fever,Muscle Weakness,Abdominal Pain,Dizziness,Bronchitis
Dizziness,Muscle Weakness,High Fever,Chills,Diarrhea,Typhoid
Sneezing,Sore Throat,Loss of Appetite,Fatigue,Chills,Cold
Nausea,Cough,Dizziness,Sweating,Diarrhea,Asthma
Sneezing,Chest Pain,High Fever,Abdominal Pain,Swelling,COVID-19
Sweating,Vomiting,Swelling,Nausea,Muscle Weakness,Malaria
Swelling,Runny Nose,Sore Throat,Sweating,Chest Pain,Dengue
Muscle Weakness,Fever,Chills,Sweating,Nausea,COVID-19
Nausea,High Fever,Swelling,Runny Nose,Shortness of Breath,Tuberculosis
Fever,Cough,Loss of Appetite,Diarrhea,Shortness of Breath,Tuberculosis
Runny Nose,Fever,Dizziness,Muscle Weakness,Loss of Appetite,Typhoid
Sore Throat,Nausea,High Fever,Skin Rash,Joint Pain,Bronchitis
Loss of Appetite,Cough,Runny Nose,Sore Throat,Dizziness,Typhoid
Fever,Cough,Chills,Abdominal Pain,Runny Nose,Allergy
Loss of Appetite,Fever,Nausea,High Fever,Dizziness,Typhoid
Sore Throat,Chills,Vomiting,High Fever,Body Pain,Bronchitis
Nausea,Dizziness,Sore Throat,Diarrhea,Loss of Appetite,Asthma
Headache,Sweating,Sneezing,Dizziness,Fever,Flu
Headache,Joint Pain,Body Pain,Diarrhea,Chest Pain,Tuberculosis
Diarrhea,Fatigue,Nausea,Skin Rash,Headache,Cold
Body Pain,Fatigue,Swelling,Sore Throat,Runny Nose,Cold
High Fever,Shortness of Breath,Abdominal Pain,Skin Rash,Chills,Dengue
Diarrhea,Chills,Loss of Appetite,Swelling,Skin Rash,Dengue
High Fever,Nausea,Fatigue,Cough,Sweating,Dengue
Swelling,Chest Pain,Loss of Appetite,Vomiting,Sneezing,Tuberculosis
Fever,Chest Pain,Runny Nose,Sore Throat,Swelling,Typhoid
Abdominal Pain,Swelling,Vomiting,Cough,Diarrhea,Asthma
Sore Throat,Swelling,Sweating,Diarrhea,Fatigue,Allergy
Shortness of Breath,Sore Throat,Sweating,Chest Pain,Vomiting,Malaria
Sweating,Chest Pain,Joint Pain,Diarrhea,Body Pain,Allergy
Chills,Joint Pain,Sweating,Diarrhea,Headache,Cold
Fatigue,Abdominal Pain,Loss of Appetite,Swelling,Headache,Food Poisoning
Sore Throat,Dizziness,Runny Nose,Sneezing,Muscle Weakness,Pneumonia
Skin Rash,Body Pain,Sore Throat,Headache,Sweating,Cold
Loss of Appetite,Fever,Chills,Joint Pain,Body Pain,Asthma
Loss of Appetite,Chills,Headache,Shortness of Breath,Swelling,Bronchitis
Abdominal Pain,Skin Rash,Fever,Cough,Loss of Appetite,Malaria
Diarrhea,Chills,High Fever,Shortness of Breath,Sneezing,Tuberculosis
Sore Throat,Cough,Fever,Sweating,Abdominal Pain,Asthma
Shortness of Breath,Nausea,Headache,Sweating,Sore Throat,Typhoid
Cough,Headache,Chills,Dizziness,Diarrhea,Asthma
Sore Throat,Joint Pain,Skin Rash,Abdominal Pain,Fatigue,Bronchitis
Dizziness,Headache,Chills,Sweating,Fever,Food Poisoning
Vomiting,Sweating,Body Pain,Chest Pain,High Fever,Tuberculosis
Skin Rash,Dizziness,Muscle Weakness,Nausea,Fatigue,Malaria
Sweating,Swelling,Diarrhea,Sneezing,Body Pain,Dengue
Abdominal Pain,Joint Pain,Loss of Appetite,Chest Pain,Fatigue,Chikungunya
Joint Pain,Fever,Muscle Weakness,Abdominal Pain,Swelling,Typhoid
Shortness of Breath,Chest Pain,Chills,Joint Pain,Sore Throat,Asthma
Diarrhea,Shortness of Breath,Sneezing,Chills,Body Pain,Chikungunya
Fatigue,Skin Rash,Chills,Sneezing,Swelling,Dengue
Sore Throat,Chest Pain,Dizziness,Swelling,Skin Rash,Bronchitis
Nausea,Diarrhea,Vomiting,Sneezing,Runny Nose,Allergy
Chills,Dizziness,Body Pain,Runny Nose,Headache,Cold
Vomiting,Muscle Weakness,Cough,Chest Pain,Shortness of Breath,Tuberculosis
Chest Pain,Sore Throat,Skin Rash,Runny Nose,Fever,Dengue
Fever,Muscle Weakness,Sneezing,Skin Rash,Cough,Pneumonia
Chest Pain,Sweating,Joint Pain,Body Pain,Vomiting,Flu
Diarrhea,Swelling,Nausea,Skin Rash,Headache,COVID-19
High Fever,Nausea,Fever,Chest Pain,Body Pain,Asthma
Swelling,Fever,Runny Nose,Sneezing,Nausea,Typhoid
Sweating,Cough,Abdominal Pain,Swelling,Fatigue,Tuberculosis
Vomiting,Sneezing,Chest Pain,Runny Nose,Nausea,COVID-19
Fatigue,Headache,Body Pain,Fever,Sore Throat,Tuberculosis
Dizziness,Loss of Appetite,Chest Pain,Sore Throat,Chills,Asthma
Cough,Fatigue,Chills,Chest Pain,Joint Pain,Bronchitis
Swelling,Diarrhea,Vomiting,High Fever,Loss of Appetite,COVID-19
Vomiting,Sore Throat,Shortness of Breath,Dizziness,Runny Nose,Chikungunya
Nausea,Diarrhea,Vomiting,Skin Rash,Body Pain,Typhoid
Cough,Vomiting,Sweating,Sneezing,Nausea,Allergy
Fever,Sore Throat,Nausea,Muscle Weakness,Loss of Appetite,Tuberculosis
Sore Throat,Shortness of Breath,Sneezing,Vomiting,Muscle Weakness,Typhoid
High Fever,Joint Pain,Sneezing,Shortness of Breath,Skin Rash,COVID-19
Swelling,Body Pain,Abdominal Pain,High Fever,Cough,Malaria
Cough,Joint Pain,Sweating,Sneezing,Nausea,Typhoid
Chest Pain,Sweating,Joint Pain,Swelling,Dizziness,Typhoid
Swelling,Sneezing,Body Pain,Nausea,Runny Nose,Allergy
Runny Nose,Muscle Weakness,Dizziness,Skin Rash,Shortness of Breath,Dengue
Shortness of Breath,Skin Rash,Runny Nose,Sneezing,Dizziness,Asthma
Sneezing,Shortness of Breath,Swelling,Skin Rash,Loss of Appetite,Bronchitis
Chills,Loss of Appetite,Vomiting,Abdominal Pain,Muscle Weakness,Pneumonia
Sweating,Muscle Weakness,Abdominal Pain,Skin Rash,Swelling,Dengue
Swelling,Sore Throat,Cough,Runny Nose,Vomiting,Asthma
Loss of Appetite,Sweating,Body Pain,Runny Nose,Muscle Weakness,Tuberculosis
High Fever,Loss of Appetite,Fever,Sore Throat,Dizziness,Food Poisoning
Abdominal Pain,Skin Rash,Swelling,Sweating,Cough,COVID-19
Fever,Muscle Weakness,Body Pain,Cough,Dizziness,Asthma
Diarrhea,Sneezing,Fever,Runny Nose,Headache,COVID-19
Sore Throat,Shortness of Breath,Skin Rash,High Fever,Sneezing,Flu
Sneezing,Sweating,Muscle Weakness,Loss of Appetite,Swelling,Dengue
Sneezing,Diarrhea,Cough,Chills,Fatigue,Bronchitis
Runny Nose,Skin Rash,Muscle Weakness,Sweating,Loss of Appetite,COVID-19
Swelling,Runny Nose,Cough,Dizziness,Sweating,Flu
Body Pain,Loss of Appetite,Skin Rash,Chills,Headache,Flu
High Fever,Swelling,Muscle Weakness,Chills,Headache,COVID-19
Joint Pain,High Fever,Abdominal Pain,Fatigue,Body Pain,Asthma
Shortness of Breath,Swelling,Headache,High Fever,Diarrhea,Chikungunya
Headache,Dizziness,Sneezing,Sore Throat,Skin Rash,Chikungunya
Nausea,Body Pain,Swelling,Headache,Muscle Weakness,Malaria
Dizziness,Vomiting,Headache,Sweating,Sneezing,COVID-19
Cough,Headache,Chills,Sore Throat,Runny Nose,Dengue
Diarrhea,Nausea,Loss of Appetite,Body Pain,Headache,Cold
Chills,Skin Rash,High Fever,Cough,Muscle Weakness,Dengue
Sneezing,Headache,Nausea,Shortness of Breath,Sore Throat,COVID-19
Runny Nose,Joint Pain,Nausea,Vomiting,Chills,Malaria
Joint Pain,Cough,High Fever,Chest Pain,Diarrhea,Malaria
High Fever,Runny Nose,Skin Rash,Joint Pain,Swelling,COVID-19
Fever,Chills,Diarrhea,Swelling,Skin Rash,Bronchitis
Diarrhea,Abdominal Pain,Skin Rash,Dizziness,Runny Nose,Chikungunya
Swelling,Cough,Chills,Dizziness,Sore Throat,Chikungunya
Diarrhea,Abdominal Pain,Sweating,Sneezing,Vomiting,Malaria
Abdominal Pain,Joint Pain,Runny Nose,Headache,Skin Rash,Asthma
Body Pain,High Fever,Abdominal Pain,Nausea,Chest Pain,Dengue
Body Pain,Dizziness,Sweating,Vomiting,Muscle Weakness,Typhoid
Joint Pain,Dizziness,Shortness of Breath,Body Pain,Fatigue,Flu
Sweating,Fever,Sneezing,Swelling,Diarrhea,Allergy
Joint Pain,Dizziness,Headache,Nausea,Chills,Typhoid
Dizziness,Body Pain,Vomiting,Loss of Appetite,Diarrhea,COVID-19
Muscle Weakness,Nausea,Sweating,Shortness of Breath,High Fever,Bronchitis
Shortness of Breath,Sneezing,Headache,Sore Throat,Loss of Appetite,Food Poisoning
Shortness of Breath,Skin Rash,High Fever,Loss of Appetite,Headache,Dengue
Runny Nose,Chest Pain,Headache,Chills,Vomiting,Flu
Sneezing,Diarrhea,Shortness of Breath,Headache,Nausea,Cold
Fever,Runny Nose,Chills,Nausea,Diarrhea,Pneumonia
Chills,Cough,Joint Pain,Abdominal Pain,Muscle Weakness,Asthma
Runny Nose,High Fever,Skin Rash,Sore Throat,Fever,Flu
Skin Rash,Nausea,Chest Pain,Dizziness,Shortness of Breath,Cold
Vomiting,Sweating,Skin Rash,Runny Nose,Dizziness,Tuberculosis
Headache,Muscle Weakness,Nausea,Skin Rash,Swelling,Chikungunya
Muscle Weakness,Sweating,Chest Pain,Diarrhea,Sore Throat,Allergy
High Fever,Runny Nose,Abdominal Pain,Joint Pain,Sweating,Typhoid
Nausea,Diarrhea,Swelling,Dizziness,Sore Throat,Food Poisoning
Swelling,Muscle Weakness,Diarrhea,Sweating,Dizziness,Tuberculosis
Swelling,Skin Rash,Sweating,Fatigue,Shortness of Breath,Asthma
Chest Pain,High Fever,Body Pain,Joint Pain,Dizziness,Flu
Loss of Appetite,Sweating,Shortness of Breath,Vomiting,Skin Rash,Chikungunya
Chest Pain,Body Pain,Sore Throat,Abdominal Pain,Diarrhea,Chikungunya
Diarrhea,Sore Throat,Sweating,Muscle Weakness,Vomiting,Pneumonia
Body Pain,Chills,Skin Rash,Nausea,Swelling,Allergy
Fatigue,High Fever,Swelling,Chills,Runny Nose,Asthma
Sneezing,Fatigue,Vomiting,Diarrhea,Dizziness,Allergy
Dizziness,Fever,High Fever,Sore Throat,Swelling,Flu
Fatigue,High Fever,Runny Nose,Headache,Dizziness,Malaria
Swelling,Runny Nose,Fever,Skin Rash,Sweating,Asthma
Sweating,Body Pain,Skin Rash,Runny Nose,High Fever,Tuberculosis
Fever,Cough,Nausea,Dizziness,Sore Throat,Pneumonia
Abdominal Pain,Vomiting,High Fever,Chills,Muscle Weakness,Bronchitis
Dizziness,Diarrhea,Vomiting,Sweating,Fever,Bronchitis
Vomiting,Shortness of Breath,Skin Rash,High Fever,Cough,Flu
Fatigue,Sore Throat,Fever,Muscle Weakness,Diarrhea,Chikungunya
Runny Nose,High Fever,Nausea,Sore Throat,Dizziness,Cold
Abdominal Pain,Swelling,Fatigue,Nausea,Chills,Cold
Nausea,Shortness of Breath,Sweating,Body Pain,Vomiting,Asthma
Swelling,Runny Nose,Loss of Appetite,Vomiting,Fatigue,Pneumonia
Body Pain,Headache,Loss of Appetite,Chest Pain,Diarrhea,Allergy
Cough,Body Pain,Abdominal Pain,Sweating,Headache,Pneumonia
Sore Throat,Shortness of Breath,Muscle Weakness,Dizziness,High Fever,Food Poisoning
Chest Pain,Dizziness,Chills,Nausea,Vomiting,Pneumonia
Nausea,Sore Throat,Swelling,Sweating,Chest Pain,Bronchitis
Sneezing,Sweating,Body Pain,Joint Pain,Fever,Cold
Dizziness,Diarrhea,Sweating,High Fever,Muscle Weakness,Food Poisoning
Fever,Loss of Appetite,Chills,Nausea,Muscle Weakness,COVID-19
Loss of Appetite,Runny Nose,Chills,Skin Rash,Body Pain,Dengue
Sneezing,High Fever,Loss of Appetite,Fever,Diarrhea,Typhoid
Cough,Body Pain,Fever,Chills,Sneezing,Asthma
Muscle Weakness,Diarrhea,Skin Rash,Dizziness,Sweating,Tuberculosis
Chills,Diarrhea,Chest Pain,Abdominal Pain,Joint Pain,Dengue
Vomiting,Sweating,Chills,Chest Pain,Loss of Appetite,Malaria
Cough,Joint Pain,Nausea,Sneezing,Diarrhea,COVID-19
Loss of Appetite,High Fever,Cough,Nausea,Fever,Flu
Skin Rash,Abdominal Pain,Vomiting,Diarrhea,Shortness of Breath,Flu
Muscle Weakness,Cough,Body Pain,Vomiting,Chills,Food Poisoning
Runny Nose,High Fever,Cough,Chest Pain,Fatigue,Flu
Nausea,Sweating,Shortness of Breath,Sneezing,Abdominal Pain,Dengue
Runny Nose,Sore Throat,Abdominal Pain,Swelling,Headache,Cold
Diarrhea,Runny Nose,Sweating,Skin Rash,Shortness of Breath,Food Poisoning
Swelling,Loss of Appetite,Vomiting,Fatigue,Chills,Cold
Shortness of Breath,Fatigue,Sweating,Dizziness,Nausea,Cold
Nausea,Sweating,Chills,Chest Pain,Vomiting,Allergy
Sneezing,Joint Pain,Sore Throat,Skin Rash,Abdominal Pain,Chikungunya
Body Pain,Sneezing,Headache,Sore Throat,High Fever,Dengue
Loss of Appetite,Swelling,Joint Pain,Sweating,Body Pain,Typhoid
Nausea,Muscle Weakness,Chest Pain,Fatigue,Dizziness,Tuberculosis
Sneezing,High Fever,Abdominal Pain,Loss of Appetite,Muscle Weakness,Tuberculosis
Runny Nose,Shortness of Breath,Abdominal Pain,Fever,Sore Throat,COVID-19
Swelling,Sore Throat,Chest Pain,Headache,Nausea,Flu
Chills,Fever,Headache,Dizziness,Body Pain,Asthma
Shortness of Breath,Chills,Fatigue,Sneezing,Sore Throat,Flu
Swelling,High Fever,Loss of Appetite,Vomiting,Sweating,COVID-19
Joint Pain,Sore Throat,Fatigue,Loss of Appetite,Runny Nose,Bronchitis
Skin Rash,Chills,Sweating,Abdominal Pain,Joint Pain,Chikungunya
Loss of Appetite,Chest Pain,Sore Throat,Sweating,Muscle Weakness,Chikungunya
Fever,Dizziness,Sore Throat,Sweating,Skin Rash,Tuberculosis
Fever,Vomiting,Body Pain,Sore Throat,Joint Pain,Chikungunya
Chills,Body Pain,Fatigue,Abdominal Pain,Sweating,Allergy
Swelling,Shortness of Breath,Skin Rash,Runny Nose,Joint Pain,Flu
Headache,Skin Rash,Sneezing,Body Pain,Joint Pain,Chikungunya
Abdominal Pain,Sweating,Swelling,Sore Throat,Cough,Food Poisoning
Fatigue,Muscle Weakness,Shortness of Breath,Sweating,Diarrhea,Bronchitis
Muscle Weakness,Swelling,Sweating,Fatigue,Headache,Malaria
Muscle Weakness,Dizziness,Runny Nose,Headache,Abdominal Pain,Pneumonia
Dizziness,High Fever,Cough,Muscle Weakness,Chest Pain,COVID-19
Body Pain,Joint Pain,Sore Throat,Cough,Fatigue,Malaria
Abdominal Pain,Muscle Weakness,Vomiting,Cough,Sore Throat,Food Poisoning
Swelling,Fatigue,Vomiting,Joint Pain,High Fever,Pneumonia
Loss of Appetite,Fatigue,Sneezing,Diarrhea,High Fever,COVID-19
Chest Pain,Cough,Sneezing,Joint Pain,Nausea,Allergy
Nausea,Fatigue,Shortness of Breath,Body Pain,Chest Pain,Typhoid
Loss of Appetite,Diarrhea,Fever,Vomiting,Sneezing,Flu
Chest Pain,Headache,Sore Throat,Joint Pain,Swelling,Malaria
Diarrhea,Sneezing,Runny Nose,Nausea,Dizziness,Allergy
Abdominal Pain,Cough,Vomiting,Body Pain,Diarrhea,Allergy
Fatigue,Sweating,High Fever,Joint Pain,Sneezing,COVID-19
Fatigue,Sneezing,Sweating,Swelling,Cough,Dengue
Sore Throat,Loss of Appetite,Dizziness,Sneezing,Fatigue,Typhoid
Muscle Weakness,Skin Rash,Sneezing,Swelling,Chills,Cold
Headache,Runny Nose,Loss of Appetite,High Fever,Fatigue,Typhoid
