Symptom1,Symptom2,Symptom3,Symptom4,Symptom5,Disease,AnimalName
Chest tightness,Wheezing,Coughing,Shortness of breath,None,Asthma,Chicken
Coughing,Chest tightness,Shortness of breath,Wheezing,None,Asthma,Cow
Nausea,Loss of taste or smell,Congestion,Shortness of breath,Fever,COVID-19,Snake
Mild bleeding,Sudden high fever,Dengue Hemorrhagic Fever,Rash,Pain behind the eyes,Dengue,Sheep
Mild fatigue,Sneezing,Mild fever,Sore throat,Runny nose,Cold,Donkey
Chills,Wheezing,Chest discomfort,Fatigue,Persistent cough with mucus,Bronchitis,Cattle
Weight loss,Blood in cough,Fatigue,Persistent cough,Loss of appetite,Tuberculosis,Donkey
Itchy eyes,Swelling,Runny nose,Sneezing,Skin rash,Allergy,Mammal
Confusion,Fatigue,Chills,High fever,Chest pain,Pneumonia,Deer
Fatigue,Sore throat,Dry Cough,Vomiting,Chills,Flu,Lion
Chest pain,Chills,Shortness of breath,Confusion,High fever,Pneumonia,Horse
Mild cough,Sneezing,Mild fever,Mild fatigue,Runny nose,Cold,Wolves
Weight loss,Persistent cough,Blood in cough,Loss of appetite,Fatigue,Tuberculosis,Tiger
Mild fever,Wheezing,Chest discomfort,Fatigue,Persistent cough with mucus,Bronchitis,Goat
Mild cough,Mild fatigue,Sore throat,Mild fever,Sneezing,Cold,Turtle
Diarrhea,Muscle aches,Chills,Dry cough,Fatigue,COVID-19,Cattle
Stomach cramps,Weakness,Bloody diarrhea,Diarrhea,Dehydration,Food Poisoning,Turtle
Dehydration,Fever,Weakness,Vomiting,Diarrhea,Food Poisoning,Turtle
Fatigue,Vomiting,Headache,Chills,Sore throat,Flu,Chicken
Skin rash,Itchy eyes,Runny nose,Sneezing,Swelling,Allergy,Buffaloes
Chest discomfort,Wheezing,Chills,Mild fever,Persistent cough with mucus,Bronchitis,Monkey
Chest discomfort,Fatigue,Wheezing,Persistent cough with mucus,Mild fever,Bronchitis,Hamster
Fatigue,Congestion,Nausea,Muscle aches,Loss of taste or smell,COVID-19,Chicken
Diarrhea,Congestion,Loss of taste or smell,Shortness of breath,Dry cough,COVID-19,Buffaloes
Chest tightness,Coughing,Shortness of breath,Wheezing,None,Asthma,Hamster
Anemia,Sweating,Fatigue,Jaundice,High fever with chills,Malaria,Moos
Chills,Congestion,Fever,Dry cough,Nausea,COVID-19,Monkey
Fatigue,Headache,Prolonged high fever,Abdominal pain,Constipation,Typhoid,Snake
Coughing,Wheezing,Shortness of breath,Chest tightness,None,Asthma,Duck
Night sweats,Fatigue,Persistent cough,Fever (evening),Loss of appetite,Tuberculosis,Duck
Chest discomfort,Persistent cough with mucus,Mild fever,Wheezing,Fatigue,Bronchitis,Wolves
Mild fever,Runny nose,Mild fatigue,Mild cough,Sore throat,Cold,Goat
Fatigue,Diarrhea,Chills,Headache,Dry Cough,Flu,Hyaenas
Nausea,Weakness,Fever,Diarrhea,Vomiting,Food Poisoning,Mammal
Prolonged high fever,Constipation,Rose-colored spots,Diarrhea,Abdominal pain,Typhoid,Snake
Congestion,Dry cough,Chills,Shortness of breath,Diarrhea,COVID-19,Wolves
Confusion,Fatigue,Shortness of breath,Chest pain,High fever,Pneumonia,Fowl
Chest discomfort,Persistent cough with mucus,Fatigue,Mild fever,Chills,Bronchitis,Lion
Dengue Hemorrhagic Fever,Rash,Mild bleeding,Sudden high fever,Muscle and joint pain,Dengue,Tiger
Runny nose,Swelling,Sneezing,Skin rash,Itchy eyes,Allergy,Wolves
Fever (evening),Weight loss,Blood in cough,Loss of appetite,Fatigue,Tuberculosis,Rabbit
Prolonged high fever,Fatigue,Weakness,Abdominal pain,Diarrhea,Typhoid,Hyaenas
Dehydration,Fever,Nausea,Stomach cramps,Bloody diarrhea,Food Poisoning,Mammal
Congestion,Sore throat,Chills,Fever,Fatigue,COVID-19,Cow
Dehydration,Vomiting,Diarrhea,Stomach cramps,Bloody diarrhea,Food Poisoning,Fox
Shortness of breath,Wheezing,Coughing,Chest tightness,None,Asthma,Dog
Muscle pain,High fever,Rash,Headache,Severe joint pain,Chikungunya,Donkey
Severe headache,Sudden high fever,Dengue Hemorrhagic Fever,Muscle and joint pain,Fatigue,Dengue,Moos
Sore throat,Mild cough,Sneezing,Mild fatigue,Runny nose,Cold,Moos
Sore throat,Headache,Fatigue,Diarrhea,Vomiting,Flu,Horse
Shortness of breath,Chest pain,High fever,Confusion,Fatigue,Pneumonia,Tiger
Nausea,Fatigue,Headache,Muscle pain,Severe joint pain,Chikungunya,Mammal
Fatigue,Mild fever,Wheezing,Chest discomfort,Persistent cough with mucus,Bronchitis,Deer
High fever,Shortness of breath,Chest pain,Cough with phlegm,Confusion,Pneumonia,Dog
Cough with phlegm,High fever,Shortness of breath,Confusion,Fatigue,Pneumonia,Pig
Chest pain,Confusion,Chills,High fever,Fatigue,Pneumonia,Buffaloes
Dry cough,Fatigue,Loss of taste or smell,Sore throat,Fever,COVID-19,Goat
Prolonged high fever,Fatigue,Headache,Weakness,Rose-colored spots,Typhoid,Cow
Rash,Fatigue,Nausea,Muscle pain,Severe joint pain,Chikungunya,Lion
Vomiting,Chills,Fever,Runny nose,Muscle or body aches,Flu,Wolves
Skin rash,Runny nose,Swelling,Itchy eyes,Sneezing,Allergy,Cattle
High fever,Severe joint pain,Headache,Rash,Fatigue,Chikungunya,Tiger
Persistent cough with mucus,Fatigue,Mild fever,Chills,Chest discomfort,Bronchitis,Chicken
Rash,Sudden high fever,Dengue Hemorrhagic Fever,Mild bleeding,Severe headache,Dengue,Monkey
Wheezing,Shortness of breath,Coughing,Chest tightness,None,Asthma,Sheep
Fatigue,Vomiting,Fever,Chills,Sore throat,Flu,Moos
Severe joint pain,Headache,High fever,Fatigue,Nausea,Chikungunya,Cat
Weakness,Prolonged high fever,Abdominal pain,Headache,Fatigue,Typhoid,Duck
Mild cough,Mild fatigue,Mild fever,Sneezing,Runny nose,Cold,Horse
Wheezing,Persistent cough with mucus,Chest discomfort,Fatigue,Chills,Bronchitis,Horse
Sweating,Muscle pain,Vomiting,Fatigue,Nausea,Malaria,Hamster
Shortness of breath,Sore throat,Dry cough,Fever,Congestion,COVID-19,Mammal
Bloody diarrhea,Nausea,Dehydration,Weakness,Stomach cramps,Food Poisoning,Mammal
Shortness of breath,Congestion,Fever,Chills,Dry cough,COVID-19,Sheep
Runny nose,Sneezing,Mild fever,Sore throat,Mild cough,Cold,Elephant
Itchy eyes,Sneezing,Swelling,Skin rash,Runny nose,Allergy,Buffaloes
Mild bleeding,Dengue Hemorrhagic Fever,Muscle and joint pain,Sudden high fever,Pain behind the eyes,Dengue,Cat
Diarrhea,Chills,Headache,Sore throat,Muscle or body aches,Flu,Rabbit
Fever (evening),Persistent cough,Loss of appetite,Blood in cough,Fatigue,Tuberculosis,Donkey
Nausea,Stomach cramps,Vomiting,Fever,Weakness,Food Poisoning,Duck
Mild bleeding,Fatigue,Sudden high fever,Muscle and joint pain,Severe headache,Dengue,Snake
Wheezing,Coughing,Shortness of breath,Chest tightness,None,Asthma,Cattle
Muscle and joint pain,Sudden high fever,Pain behind the eyes,Rash,Dengue Hemorrhagic Fever,Dengue,Duck
Diarrhea,Fever,Nausea,Congestion,Sore throat,COVID-19,Pig
Mild cough,Sore throat,Mild fatigue,Sneezing,Runny nose,Cold,Cat
Weakness,Diarrhea,Vomiting,Nausea,Fever,Food Poisoning,Chicken
Diarrhea,Prolonged high fever,Abdominal pain,Fatigue,Headache,Typhoid,Mammal
Loss of taste or smell,Fatigue,Dry cough,Shortness of breath,Chills,COVID-19,Cow
Fatigue,High fever,Severe joint pain,Headache,Rash,Chikungunya,Monkey
Loss of appetite,Fatigue,Persistent cough,Weight loss,Fever (evening),Tuberculosis,Birds
High fever,Fatigue,Cough with phlegm,Chest pain,Confusion,Pneumonia,Cattle
Runny nose,Itchy eyes,Swelling,Sneezing,Skin rash,Allergy,Dog
Confusion,Cough with phlegm,Fatigue,Chills,Shortness of breath,Pneumonia,Fox
Nausea,Stomach cramps,Weakness,Fever,Bloody diarrhea,Food Poisoning,Goat
Abdominal pain,Weakness,Diarrhea,Rose-colored spots,Constipation,Typhoid,Monkey
Shortness of breath,Fatigue,Confusion,High fever,Chest pain,Pneumonia,Hamster
Shortness of breath,Coughing,Wheezing,Chest tightness,None,Asthma,Dog
Nausea,Bloody diarrhea,Fever,Dehydration,Weakness,Food Poisoning,Cat
Rose-colored spots,Headache,Abdominal pain,Fatigue,Diarrhea,Typhoid,Lion
Muscle aches,Dry cough,Nausea,Shortness of breath,Loss of taste or smell,COVID-19,Mammal
High fever with chills,Vomiting,Jaundice,Nausea,Fatigue,Malaria,Hamster
Shortness of breath,Diarrhea,Fatigue,Muscle aches,Congestion,COVID-19,Horse
Fever,Dry Cough,Fatigue,Sore throat,Runny nose,Flu,Birds
Vomiting,Headache,High fever with chills,Nausea,Fatigue,Malaria,Lion
Mild fever,Chills,Persistent cough with mucus,Chest discomfort,Wheezing,Bronchitis,Mammal
Pain behind the eyes,Severe headache,Mild bleeding,Sudden high fever,Dengue Hemorrhagic Fever,Dengue,Duck
Muscle aches,Fever,Fatigue,Sore throat,Nausea,COVID-19,Cow
Muscle or body aches,Dry Cough,Diarrhea,Chills,Runny nose,Flu,Pig
Dengue Hemorrhagic Fever,Rash,Fatigue,Sudden high fever,Pain behind the eyes,Dengue,Fowl
Mild cough,Mild fever,Mild fatigue,Sneezing,Sore throat,Cold,Horse
High fever,Chills,Cough with phlegm,Shortness of breath,Chest pain,Pneumonia,Snake
Wheezing,Coughing,Shortness of breath,Chest tightness,None,Asthma,Cow
Fatigue,Confusion,Shortness of breath,Cough with phlegm,Chest pain,Pneumonia,Fox
Coughing,Wheezing,Shortness of breath,Chest tightness,None,Asthma,Fowl
Rose-colored spots,Abdominal pain,Headache,Fatigue,Constipation,Typhoid,Donkey
Chest tightness,Coughing,Wheezing,Shortness of breath,None,Asthma,Dog
Sneezing,Swelling,Skin rash,Itchy eyes,Runny nose,Allergy,Cattle
Wheezing,Fatigue,Chills,Mild fever,Persistent cough with mucus,Bronchitis,Hamster
Wheezing,Fatigue,Persistent cough with mucus,Chest discomfort,Chills,Bronchitis,Deer
Chills,Persistent cough with mucus,Wheezing,Mild fever,Chest discomfort,Bronchitis,Wolves
Pain behind the eyes,Dengue Hemorrhagic Fever,Fatigue,Mild bleeding,Rash,Dengue,Hyaenas
Fatigue,Vomiting,Anemia,Muscle pain,High fever with chills,Malaria,Moos
Sore throat,Dry Cough,Fever,Runny nose,Headache,Flu,Dog
Jaundice,Fatigue,Nausea,Sweating,Muscle pain,Malaria,Deer
Persistent cough with mucus,Fatigue,Wheezing,Chest discomfort,Chills,Bronchitis,Chicken
Weakness,Headache,Fatigue,Prolonged high fever,Diarrhea,Typhoid,Deer
Mild fatigue,Mild cough,Runny nose,Sneezing,Mild fever,Cold,Goat
Sore throat,Chills,Muscle or body aches,Fever,Fatigue,Flu,Donkey
Persistent cough,Fever (evening),Blood in cough,Fatigue,Loss of appetite,Tuberculosis,Rabbit
Sore throat,Vomiting,Fatigue,Chills,Headache,Flu,Sheep
Fatigue,Dry Cough,Headache,Muscle or body aches,Vomiting,Flu,Duck
High fever,Nausea,Fatigue,Rash,Severe joint pain,Chikungunya,Birds
Fatigue,Weight loss,Blood in cough,Fever (evening),Night sweats,Tuberculosis,Dog
Loss of taste or smell,Fatigue,Dry cough,Chills,Congestion,COVID-19,Fowl
Headache,Vomiting,Muscle or body aches,Dry Cough,Chills,Flu,Mammal
Nausea,Muscle pain,Fatigue,High fever,Severe joint pain,Chikungunya,Hyaenas
Shortness of breath,Fatigue,Confusion,Chest pain,Cough with phlegm,Pneumonia,Mammal
Bloody diarrhea,Fever,Weakness,Stomach cramps,Diarrhea,Food Poisoning,Moos
Fatigue,Weakness,Diarrhea,Prolonged high fever,Rose-colored spots,Typhoid,Cat
Swelling,Runny nose,Itchy eyes,Sneezing,Skin rash,Allergy,Cattle
Chills,Nausea,Shortness of breath,Fatigue,Loss of taste or smell,COVID-19,Donkey
Nausea,Weakness,Vomiting,Fever,Bloody diarrhea,Food Poisoning,Sheep
Vomiting,Fever,Diarrhea,Nausea,Dehydration,Food Poisoning,Rabbit
Weight loss,Persistent cough,Loss of appetite,Fever (evening),Night sweats,Tuberculosis,Monkey
Skin rash,Runny nose,Swelling,Sneezing,Itchy eyes,Allergy,Birds
Fatigue,Chills,Mild fever,Wheezing,Chest discomfort,Bronchitis,Chicken
Wheezing,Chills,Chest discomfort,Persistent cough with mucus,Mild fever,Bronchitis,Horse
Abdominal pain,Fatigue,Rose-colored spots,Prolonged high fever,Headache,Typhoid,Hamster
Anemia,High fever with chills,Sweating,Vomiting,Nausea,Malaria,Monkey
Dry Cough,Vomiting,Sore throat,Muscle or body aches,Headache,Flu,Turtle
Weight loss,Fatigue,Fever (evening),Loss of appetite,Blood in cough,Tuberculosis,Moos
Rash,Fatigue,Severe joint pain,Headache,High fever,Chikungunya,Mammal
Nausea,Vomiting,Stomach cramps,Weakness,Dehydration,Food Poisoning,Chicken
Fatigue,Prolonged high fever,Diarrhea,Rose-colored spots,Weakness,Typhoid,Fowl
Wheezing,Mild fever,Fatigue,Persistent cough with mucus,Chills,Bronchitis,Cat
Headache,Rash,Nausea,Severe joint pain,Muscle pain,Chikungunya,Hamster
Diarrhea,Bloody diarrhea,Weakness,Stomach cramps,Nausea,Food Poisoning,Chicken
Fatigue,Headache,Muscle pain,Severe joint pain,Rash,Chikungunya,Elephant
Sneezing,Runny nose,Sore throat,Mild cough,Mild fever,Cold,Dog
Dry Cough,Runny nose,Muscle or body aches,Headache,Sore throat,Flu,Cow
Chest discomfort,Mild fever,Persistent cough with mucus,Wheezing,Chills,Bronchitis,Deer
Wheezing,Chest tightness,Coughing,Shortness of breath,None,Asthma,Sheep
High fever,Nausea,Muscle pain,Fatigue,Severe joint pain,Chikungunya,Mammal
Mild bleeding,Rash,Muscle and joint pain,Severe headache,Dengue Hemorrhagic Fever,Dengue,Buffaloes
Loss of appetite,Persistent cough,Blood in cough,Night sweats,Fever (evening),Tuberculosis,Cattle
Shortness of breath,Wheezing,Chest tightness,Coughing,None,Asthma,Dog
Severe joint pain,Fatigue,Muscle pain,Headache,High fever,Chikungunya,Chicken
Sweating,Anemia,Headache,Jaundice,Muscle pain,Malaria,Horse
Loss of appetite,Fatigue,Weight loss,Night sweats,Fever (evening),Tuberculosis,Moos
Dry Cough,Muscle or body aches,Vomiting,Fever,Diarrhea,Flu,Snake
Mild fatigue,Mild fever,Sneezing,Runny nose,Mild cough,Cold,Sheep
Diarrhea,Congestion,Fever,Nausea,Muscle aches,COVID-19,Fowl
Fatigue,Shortness of breath,Muscle aches,Dry cough,Nausea,COVID-19,Donkey
Sore throat,Mild cough,Runny nose,Sneezing,Mild fatigue,Cold,Moos
Nausea,Rash,Severe joint pain,Headache,Fatigue,Chikungunya,Moos
Wheezing,Shortness of breath,Chest tightness,Coughing,None,Asthma,Rabbit
Fatigue,Fever,Muscle or body aches,Sore throat,Runny nose,Flu,Tiger
Fatigue,Nausea,Diarrhea,Dry cough,Fever,COVID-19,Buffaloes
High fever with chills,Sweating,Nausea,Anemia,Headache,Malaria,Monkey
Itchy eyes,Swelling,Sneezing,Skin rash,Runny nose,Allergy,Cow
Confusion,Shortness of breath,Chills,High fever,Cough with phlegm,Pneumonia,Cow
Swelling,Runny nose,Itchy eyes,Skin rash,Sneezing,Allergy,Monkey
Fatigue,Loss of appetite,Persistent cough,Night sweats,Blood in cough,Tuberculosis,Cat
Congestion,Dry cough,Nausea,Sore throat,Shortness of breath,COVID-19,Mammal
Runny nose,Headache,Fatigue,Chills,Vomiting,Flu,Chicken
Runny nose,Sneezing,Mild cough,Mild fever,Mild fatigue,Cold,Cat
Sneezing,Mild fatigue,Sore throat,Mild cough,Mild fever,Cold,Tiger
Headache,Prolonged high fever,Abdominal pain,Fatigue,Rose-colored spots,Typhoid,Horse
Constipation,Abdominal pain,Prolonged high fever,Weakness,Headache,Typhoid,Sheep
Mild cough,Mild fatigue,Sneezing,Sore throat,Mild fever,Cold,Hamster
Wheezing,Chest tightness,Coughing,Shortness of breath,None,Asthma,Hamster
High fever with chills,Headache,Jaundice,Nausea,Anemia,Malaria,Cow
Sweating,Anemia,High fever with chills,Vomiting,Nausea,Malaria,Fox
Wheezing,Chills,Persistent cough with mucus,Fatigue,Chest discomfort,Bronchitis,Cow
Chills,Mild fever,Fatigue,Chest discomfort,Persistent cough with mucus,Bronchitis,Moos
Nausea,Fatigue,Chills,Muscle aches,Dry cough,COVID-19,Hyaenas
Rash,Muscle pain,Severe joint pain,Headache,High fever,Chikungunya,Rabbit
Fatigue,Confusion,Chills,High fever,Cough with phlegm,Pneumonia,Donkey
Sneezing,Runny nose,Sore throat,Mild cough,Mild fatigue,Cold,Pig
Runny nose,Mild fatigue,Mild fever,Sneezing,Mild cough,Cold,Lion
Persistent cough,Fever (evening),Fatigue,Blood in cough,Weight loss,Tuberculosis,Donkey
Dehydration,Diarrhea,Weakness,Fever,Nausea,Food Poisoning,Fowl
Fatigue,Chest pain,Confusion,Chills,High fever,Pneumonia,Moos
Severe headache,Mild bleeding,Rash,Muscle and joint pain,Sudden high fever,Dengue,Fox
Sore throat,Sneezing,Mild cough,Mild fever,Runny nose,Cold,Buffaloes
Mild fever,Chest discomfort,Chills,Persistent cough with mucus,Wheezing,Bronchitis,Duck
Mild fever,Mild cough,Sore throat,Mild fatigue,Runny nose,Cold,Dog
Sore throat,Runny nose,Mild cough,Mild fever,Mild fatigue,Cold,Hamster
Runny nose,Sneezing,Mild cough,Mild fever,Sore throat,Cold,Tiger
Sore throat,Mild fever,Runny nose,Mild cough,Sneezing,Cold,Deer
Shortness of breath,Coughing,Wheezing,Chest tightness,None,Asthma,Moos
Fatigue,Persistent cough with mucus,Mild fever,Wheezing,Chills,Bronchitis,Deer
Coughing,Chest tightness,Wheezing,Shortness of breath,None,Asthma,Lion
Fatigue,Nausea,Headache,Vomiting,High fever with chills,Malaria,Fowl
Mild fever,Mild fatigue,Mild cough,Sneezing,Runny nose,Cold,Hamster
Fatigue,Chills,Shortness of breath,Confusion,High fever,Pneumonia,Cattle
Fatigue,Sudden high fever,Pain behind the eyes,Rash,Mild bleeding,Dengue,Horse
Headache,Vomiting,Jaundice,Fatigue,High fever with chills,Malaria,Buffaloes
Runny nose,Diarrhea,Fever,Chills,Fatigue,Flu,Moos
Abdominal pain,Fatigue,Constipation,Weakness,Rose-colored spots,Typhoid,Fox
Chest tightness,Shortness of breath,Wheezing,Coughing,None,Asthma,Cattle
High fever,Chest pain,Fatigue,Shortness of breath,Cough with phlegm,Pneumonia,Horse
Chest discomfort,Wheezing,Persistent cough with mucus,Mild fever,Chills,Bronchitis,Rabbit
Fatigue,High fever,Shortness of breath,Chills,Chest pain,Pneumonia,Dog
Fever,Chills,Congestion,Loss of taste or smell,Dry cough,COVID-19,Cow
Runny nose,Diarrhea,Fatigue,Fever,Chills,Flu,Donkey
Muscle or body aches,Vomiting,Diarrhea,Fever,Dry Cough,Flu,Cow
Pain behind the eyes,Rash,Severe headache,Muscle and joint pain,Mild bleeding,Dengue,Fowl
Persistent cough with mucus,Mild fever,Chest discomfort,Chills,Wheezing,Bronchitis,Tiger
Weakness,Fatigue,Abdominal pain,Rose-colored spots,Constipation,Typhoid,Lion
Nausea,Rash,High fever,Fatigue,Severe joint pain,Chikungunya,Donkey
Mild fatigue,Sneezing,Sore throat,Runny nose,Mild cough,Cold,Fox
Sore throat,Runny nose,Sneezing,Mild cough,Mild fatigue,Cold,Hamster
Swelling,Skin rash,Runny nose,Sneezing,Itchy eyes,Allergy,Fowl
Wheezing,Chest tightness,Coughing,Shortness of breath,None,Asthma,Donkey
Mild fever,Chest discomfort,Persistent cough with mucus,Wheezing,Fatigue,Bronchitis,Turtle
Persistent cough,Loss of appetite,Night sweats,Blood in cough,Fatigue,Tuberculosis,Sheep
Headache,Fever,Fatigue,Chills,Runny nose,Flu,Wolves
Chest tightness,Shortness of breath,Coughing,Wheezing,None,Asthma,Snake
Persistent cough,Fatigue,Weight loss,Loss of appetite,Fever (evening),Tuberculosis,Cattle
Wheezing,Chest tightness,Shortness of breath,Coughing,None,Asthma,Horse
Wheezing,Coughing,Shortness of breath,Chest tightness,None,Asthma,Sheep
Mild fever,Sore throat,Sneezing,Mild fatigue,Runny nose,Cold,Goat
Runny nose,Diarrhea,Dry Cough,Fatigue,Sore throat,Flu,Donkey
Blood in cough,Persistent cough,Night sweats,Loss of appetite,Fever (evening),Tuberculosis,Pig
Vomiting,High fever with chills,Headache,Anemia,Muscle pain,Malaria,Tiger
Diarrhea,Chills,Loss of taste or smell,Dry cough,Fatigue,COVID-19,Dog
Shortness of breath,Coughing,Wheezing,Chest tightness,None,Asthma,Chicken
Severe joint pain,Rash,Headache,Muscle pain,Nausea,Chikungunya,Duck
Mild bleeding,Sudden high fever,Fatigue,Muscle and joint pain,Severe headache,Dengue,Sheep
Blood in cough,Loss of appetite,Persistent cough,Fever (evening),Fatigue,Tuberculosis,Buffaloes
Shortness of breath,Chest tightness,Coughing,Wheezing,None,Asthma,Hyaenas
Fatigue,Rash,Nausea,Severe joint pain,Headache,Chikungunya,Goat
Weakness,Headache,Prolonged high fever,Constipation,Rose-colored spots,Typhoid,Birds
Runny nose,Mild cough,Mild fatigue,Mild fever,Sneezing,Cold,Wolves
Severe joint pain,High fever,Fatigue,Nausea,Rash,Chikungunya,Elephant
Muscle pain,Headache,Rash,Fatigue,Nausea,Chikungunya,Tiger
Fever,Headache,Dry Cough,Chills,Sore throat,Flu,Tiger
Confusion,Chest pain,Cough with phlegm,Fatigue,Chills,Pneumonia,Buffaloes
Vomiting,Muscle pain,Anemia,Fatigue,Nausea,Malaria,Hamster
Weakness,Prolonged high fever,Rose-colored spots,Constipation,Headache,Typhoid,Pig
Mild fever,Fatigue,Chest discomfort,Persistent cough with mucus,Chills,Bronchitis,Chicken
Rose-colored spots,Headache,Abdominal pain,Diarrhea,Weakness,Typhoid,Birds
Dry Cough,Vomiting,Fever,Sore throat,Fatigue,Flu,Birds
Shortness of breath,Coughing,Chest tightness,Wheezing,None,Asthma,Horse
Fever,Vomiting,Weakness,Stomach cramps,Dehydration,Food Poisoning,Lion
Vomiting,Jaundice,Nausea,Fatigue,Anemia,Malaria,Mammal
Persistent cough with mucus,Wheezing,Fatigue,Chills,Mild fever,Bronchitis,Fox
Chest tightness,Wheezing,Coughing,Shortness of breath,None,Asthma,Pig
Rash,Nausea,Headache,Severe joint pain,Muscle pain,Chikungunya,Donkey
Rash,Dengue Hemorrhagic Fever,Fatigue,Muscle and joint pain,Severe headache,Dengue,Moos
Pain behind the eyes,Fatigue,Severe headache,Muscle and joint pain,Rash,Dengue,Buffaloes
Abdominal pain,Constipation,Weakness,Prolonged high fever,Headache,Typhoid,Moos
Fatigue,Night sweats,Persistent cough,Loss of appetite,Fever (evening),Tuberculosis,Cattle
Fever (evening),Night sweats,Persistent cough,Loss of appetite,Fatigue,Tuberculosis,Birds
High fever,Shortness of breath,Confusion,Cough with phlegm,Fatigue,Pneumonia,Buffaloes
